City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
485,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
488,Tamandare,BR,80.04,clear sky,-8.7597,-35.1047,Pousada 100 Passos
497,Hampton,US,83.32,broken clouds,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
501,Nichinan,JP,80.76,overcast clouds,31.6,131.3667,Guest House Aki
523,Mabaruma,GY,83.86,few clouds,8.2,-59.7833,Monty Brooms Guest House
528,Alugan,PH,81.61,overcast clouds,12.2188,125.4808,JM Lodge
539,Paragominas,BR,81.41,few clouds,-2.9667,-47.4833,INOVA
542,Catuday,PH,80.83,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
557,Canton,CN,84.15,overcast clouds,23.1167,113.25,Guangzhou Hotel
559,Ikom,NG,80.67,moderate rain,5.9667,8.7063,Reho Farm & Resort
567,Jiuquan,CN,83.48,clear sky,39.7432,98.5174,Jiuquan Hotel
569,Marovoay,MG,81.27,scattered clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
572,Carutapera,BR,82.29,few clouds,-1.195,-46.02,Lidera
574,Jinchang,CN,81.1,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
577,Aksu,CN,80.87,clear sky,41.1231,80.2644,Pudong Holiday Hotel
588,Gigmoto,PH,81.75,overcast clouds,13.7796,124.39,Cj's Travellers Inn
590,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
594,Calapi,PH,80.31,overcast clouds,11.9435,125.0206,Eduardo's Tourist Hotel
600,Banapur,IN,83.14,overcast clouds,19.7833,85.1833,Uttarayani market
604,Payson,US,80.33,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
622,Scottsboro,US,84.87,clear sky,34.6723,-86.0341,Econo Lodge
632,Acapulco,MX,82.74,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
636,Menongue,AO,80.37,clear sky,-14.6585,17.691,Ritz Lauca
638,Maceio,BR,83.64,scattered clouds,-9.6658,-35.7353,Poutur Pousada
659,Seoul,KR,81.84,broken clouds,37.5683,126.9778,롯데호텔 서울
668,Shasta Lake,US,81.32,overcast clouds,40.6804,-122.3708,Shasta Dam Motel
669,San Miguel,SV,84.49,broken clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
676,Brooks,CA,80.06,clear sky,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
678,Pinjaur,IN,80.42,overcast clouds,30.7972,76.9172,OYO 28153 Hotel Green Tree
685,Laguna,US,81.1,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
696,Carauari,BR,82.58,broken clouds,-4.8828,-66.8958,Hotel Fellip
